Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
945;2025-11-02;11;10;7;2;3;1;1;1;3;4;22;24;17;26;15;19;56;57;41;29;15;9;7;4;384;;7;945 - Magellan vers Ouest;2025-11-02;Vacances de la Toussaint
994;2025-11-02;12;9;4;1;1;2;2;1;4;12;20;27;18;22;16;17;45;23;28;19;10;7;4;1;305;;7;994 - Ceineray vers Est;2025-11-02;Vacances de la Toussaint
673;2025-11-01;13;10;17;1;3;2;4;1;3;6;8;19;16;21;19;27;31;37;23;28;20;12;5;17;343;;6;673 - Pont de Pornic vers Sud;2025-11-01;Vacances de la Toussaint
664;2025-11-01;28;15;7;9;5;3;2;3;5;12;14;25;26;24;42;42;42;44;54;58;21;17;14;24;536;;6;664 - Bonduelle vers sud;2025-11-01;Vacances de la Toussaint
786;2025-11-01;66;39;50;42;21;6;12;16;17;37;52;73;64;50;92;99;99;163;109;92;55;43;30;58;1385;;6;786 - 50 Otages Vers Nord;2025-11-01;Vacances de la Toussaint
666;2025-11-01;0;2;1;0;3;1;1;3;3;3;5;9;2;9;9;6;8;4;4;8;3;3;1;4;92;;6;666 - Pont Audibert vers Sud;2025-11-01;Vacances de la Toussaint
948;2025-11-01;3;3;4;1;0;0;0;3;1;3;11;8;6;12;16;28;18;24;10;10;2;1;3;0;167;;6;948 - Bd Malakoff vers Est;2025-11-01;Vacances de la Toussaint
994;2025-11-01;18;9;13;5;2;3;2;3;3;5;2;14;17;13;10;25;41;39;50;20;9;20;13;15;351;;6;994 - Ceineray vers Est;2025-11-01;Vacances de la Toussaint
679;2025-11-01;0;2;0;0;1;0;0;0;2;5;2;2;1;3;4;3;2;1;4;4;0;0;0;3;39;;6;679 - Bd Malakoff vers Gare Sud;2025-11-01;Vacances de la Toussaint
727;2025-11-01;1;0;5;0;1;0;1;0;8;14;12;18;11;16;13;16;14;26;11;13;1;6;0;4;191;;6;727 - Pont Tabarly vers Nord;2025-11-01;Vacances de la Toussaint
943;2025-11-01;0;2;2;1;0;0;0;1;2;1;6;6;8;10;5;6;6;10;6;3;4;2;0;0;81;;6;943 - Magellan vers Ouest;2025-11-01;Vacances de la Toussaint
986;2025-11-01;1;1;0;0;0;0;0;2;2;8;9;8;14;10;11;9;12;14;13;12;8;7;1;3;145;;6;986 - Tremie vers Ouest;2025-11-01;Vacances de la Toussaint
987;2025-11-01;6;2;0;0;0;0;2;1;0;3;2;4;6;3;4;13;6;14;13;9;5;9;8;6;116;;6;987 - Tremie vers Est;2025-11-01;Vacances de la Toussaint
672;2025-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6;672 - Pont de Pornic vers Nord;2025-11-01;Vacances de la Toussaint
950;2025-11-01;7;2;1;2;2;0;4;5;6;15;16;14;28;17;14;24;26;20;34;16;7;4;3;3;270;;6;950 - avenue de la Libération vers Nord;2025-11-01;Vacances de la Toussaint
980;2025-11-01;1;0;0;0;2;0;0;0;0;0;3;2;1;1;1;2;3;4;0;0;0;0;0;0;20;;6;980 - Pont Tabarly vers Sud;2025-11-01;Vacances de la Toussaint
677;2025-11-01;10;4;6;4;0;0;4;2;3;9;17;14;12;18;13;22;26;22;20;6;8;6;3;5;234;;6;677 - Pont Willy Brandt vers Malakoff;2025-11-01;Vacances de la Toussaint
681;2025-11-01;25;18;6;9;5;1;4;4;5;5;15;22;36;24;25;35;32;60;39;37;20;27;15;11;480;;6;681 - Stalingrad vers est;2025-11-01;Vacances de la Toussaint
744;2025-11-01;13;4;2;3;3;3;0;4;6;16;32;43;33;28;36;40;44;52;45;41;19;13;15;9;504;;6;744 - Calvaire vers Est;2025-11-01;Vacances de la Toussaint
746;2025-11-01;0;0;3;1;0;0;1;1;6;10;10;19;10;10;8;23;34;34;11;7;7;2;0;0;197;;6;746 - Chemin de halage Tortière vers Sud;2025-11-01;Vacances de la Toussaint
787;2025-11-01;33;17;20;14;11;4;8;3;16;48;51;77;56;63;71;83;90;89;79;81;50;29;19;23;1035;;6;787 - 50 Otages Vers Sud;2025-11-01;Vacances de la Toussaint
788;2025-11-01;54;38;27;37;17;7;7;10;11;18;27;59;53;43;46;77;87;89;94;61;41;37;33;38;1011;;6;788 - 50 Otages Vers Nord;2025-11-01;Vacances de la Toussaint
676;2025-11-01;4;6;5;7;2;3;2;2;3;9;15;11;7;13;16;19;14;30;22;33;6;8;3;4;244;;6;676 - Pont Willy Brandt vers Beaulieu;2025-11-01;Vacances de la Toussaint
997;2025-11-01;1;0;0;1;0;0;1;2;5;18;22;21;20;12;11;23;39;25;12;13;7;2;2;0;237;;6;997 - Van Iseghem vers Sud;2025-11-01;Vacances de la Toussaint
668;2025-11-01;15;13;6;13;3;3;4;4;2;4;10;16;15;17;29;29;20;38;37;31;8;11;8;14;350;;6;668 - De Gaulle vers sud;2025-11-01;Vacances de la Toussaint
672;2025-11-01;9;7;7;1;1;3;2;2;5;8;11;23;12;15;13;27;27;40;25;31;11;6;2;5;293;;6;672 - Pont de Pornic vers Nord;2025-11-01;Vacances de la Toussaint
665;2025-11-01;5;8;2;3;3;0;1;9;7;31;41;41;26;19;32;32;37;31;33;42;29;8;7;8;455;;6;665 - Bonduelle vers Nord;2025-11-01;Vacances de la Toussaint
680;2025-11-01;16;7;8;11;8;0;5;5;12;24;43;35;47;36;68;47;61;46;49;48;31;23;16;18;664;;6;680 - Stalingrad vers ouest;2025-11-01;Vacances de la Toussaint
743;2025-11-01;34;28;10;18;8;4;0;8;11;25;23;33;36;36;34;44;51;49;45;65;32;27;21;21;663;;6;743 - Philippot vers ouest;2025-11-01;Vacances de la Toussaint
960;2025-11-01;1;0;0;0;0;0;1;1;0;0;2;1;3;2;2;4;4;1;3;2;1;0;0;0;28;;6;960 - Sorinières Vers Nord;2025-11-01;Vacances de la Toussaint
981;2025-11-01;0;0;0;0;1;0;0;1;0;1;2;1;2;0;7;1;6;2;3;1;2;4;1;2;37;;6;981 - Pont Tabarly vers Nord;2025-11-01;Vacances de la Toussaint
672;2025-11-01;17;10;12;1;2;3;3;3;7;14;15;31;16;25;18;33;33;48;29;36;13;8;4;7;388;;6;672 - Pont de Pornic vers Nord;2025-11-01;Vacances de la Toussaint
996;2025-11-01;9;8;11;1;6;6;0;5;3;2;7;24;11;5;18;23;20;29;19;23;8;4;8;13;263;;6;996 - Van Iseghem vers Nord;2025-11-01;Vacances de la Toussaint
675;2025-11-01;20;23;17;4;1;3;5;2;8;19;22;45;28;24;36;36;39;35;24;0;0;0;0;0;391;;6;675 - Pont Haudaudine vers Nord;2025-11-01;Vacances de la Toussaint
683;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;683 - pont Anne de Bretagne vers Nord;2025-11-01;Vacances de la Toussaint
742;2025-11-01;34;26;18;18;11;7;14;9;13;19;41;54;36;31;29;52;51;53;39;43;25;11;25;21;680;;6;742 - Philippot vers Est;2025-11-01;Vacances de la Toussaint
745;2025-11-01;1;4;3;1;1;0;0;0;1;2;2;3;5;6;7;5;10;11;9;3;2;1;1;4;82;;6;745 - Calvaire vers Ouest;2025-11-01;Vacances de la Toussaint
747;2025-11-01;8;5;7;0;5;5;0;5;2;6;3;20;11;2;17;21;15;17;22;16;4;5;6;7;209;;6;747 - Chemin de halage Tortière vers Nord;2025-11-01;Vacances de la Toussaint
670;2025-11-01;7;5;5;2;5;2;2;1;3;9;2;5;7;9;12;8;12;8;8;5;3;5;2;5;132;;6;670 - Pont de Pirmil vers Sud;2025-11-01;Vacances de la Toussaint
949;2025-11-01;5;5;1;1;1;0;2;1;2;4;8;7;11;8;4;12;11;6;22;14;4;7;2;5;143;;6;949 - avenue de la Libération vers Sud;2025-11-01;Vacances de la Toussaint
959;2025-11-01;0;2;1;0;1;2;0;3;1;3;2;2;2;5;6;4;3;2;3;2;1;0;0;0;45;;6;959 - Sorinières Vers Sud;2025-11-01;Vacances de la Toussaint
977;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;977 - pont des 3 Continents vers Nord;2025-11-01;Vacances de la Toussaint
944;2025-11-01;3;3;1;1;0;0;1;2;2;3;4;4;9;8;5;7;5;7;4;5;2;4;0;0;80;;6;944 - Magellan vers Est;2025-11-01;Vacances de la Toussaint
673;2025-11-01;9;7;13;1;5;2;3;3;3;2;5;19;16;14;16;22;26;33;23;28;17;12;4;15;298;;6;673 - Pont de Pornic vers Sud;2025-11-01;Vacances de la Toussaint
667;2025-11-01;43;27;24;10;5;9;11;20;21;61;59;88;68;67;84;98;79;103;95;75;50;29;9;24;1159;;6;667 - Entrée pont Audibert vers Nord;2025-11-01;Vacances de la Toussaint
979;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;979 - pont des 3 Continents vers Sud;2025-11-01;Vacances de la Toussaint
945;2025-11-01;14;27;18;8;3;0;0;2;1;7;9;19;11;16;23;27;35;42;36;43;27;17;11;10;406;;6;945 - Magellan vers Ouest;2025-11-01;Vacances de la Toussaint
890;2025-11-01;45;29;33;11;22;5;10;20;30;49;64;88;85;74;97;109;106;108;137;99;83;37;22;45;1408;;6;890 - Pont de Pirmil vers Sud;2025-11-01;Vacances de la Toussaint
847;2025-11-01;69;47;27;23;16;13;7;8;9;23;30;61;41;63;77;67;105;89;106;107;72;41;43;54;1198;;6;847 - Entrée pont Audibert vers Sud;2025-11-01;Vacances de la Toussaint
881;2025-11-01;28;19;17;6;3;5;5;14;15;43;37;59;59;59;73;99;76;82;86;61;47;37;12;20;962;;6;881 - Madeleine vers Sud;2025-11-01;Vacances de la Toussaint
988;2025-11-01;9;1;0;1;1;0;3;3;9;27;33;33;29;31;51;42;40;45;34;61;21;7;10;6;497;;6;988 - Kennedy vers Est;2025-11-01;Vacances de la Toussaint
946;2025-11-01;15;10;11;4;6;2;1;5;12;44;31;45;29;34;33;35;35;36;21;31;21;14;4;9;488;;6;946 - Magellan vers Est;2025-11-01;Vacances de la Toussaint
669;2025-11-01;4;4;3;1;4;0;1;9;7;16;15;19;30;10;23;11;21;30;21;28;12;6;3;5;283;;6;669 - De Gaulle sortie Clémenceau vers Nord;2025-11-01;Vacances de la Toussaint
682;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;682 - pont Anne de Bretagne vers Sud;2025-11-01;Vacances de la Toussaint
785;2025-11-01;81;42;32;17;11;7;9;12;23;49;62;95;75;80;97;101;124;120;106;100;79;41;46;45;1454;;6;785 - 50 Otages Vers Sud;2025-11-01;Vacances de la Toussaint
674;2025-11-01;31;20;12;9;7;1;8;0;0;11;16;25;33;37;23;35;34;37;50;41;32;25;17;28;532;;6;674 - Pont Haudaudine vers Sud;2025-11-01;Vacances de la Toussaint
725;2025-11-01;4;2;3;1;2;1;0;0;4;5;11;14;21;14;20;12;13;21;8;13;13;12;7;1;202;;6;725 - Pont Tabarly vers Sud;2025-11-01;Vacances de la Toussaint
989;2025-11-01;32;22;17;13;8;7;10;16;16;10;29;40;44;38;43;37;50;78;53;46;21;19;26;21;696;;6;989 - Kennedy vers Ouest;2025-11-01;Vacances de la Toussaint
880;2025-11-01;45;29;19;13;11;5;10;4;13;9;25;35;32;51;58;60;71;80;75;71;48;30;27;33;854;;6;880 - Madeleine vers Nord;2025-11-01;Vacances de la Toussaint
995;2025-11-01;13;11;3;0;2;2;3;6;5;34;28;38;23;23;34;46;35;45;37;35;21;8;5;7;464;;6;995 - Ceineray vers Ouest;2025-11-01;Vacances de la Toussaint
947;2025-11-01;0;0;0;1;0;0;0;0;3;3;12;3;8;4;15;16;27;29;12;5;0;2;1;1;142;;6;947 - Bd Malakoff vers Ouest;2025-11-01;Vacances de la Toussaint
673;2025-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6;673 - Pont de Pornic vers Sud;2025-11-01;Vacances de la Toussaint
673;2025-10-31;9;3;2;0;2;2;8;39;59;40;13;12;33;29;24;40;52;104;78;53;19;20;19;10;670;;5;673 - Pont de Pornic vers Sud;2025-10-31;Vacances de la Toussaint
665;2025-10-31;3;2;2;0;2;5;12;55;102;54;27;48;46;36;42;34;28;75;66;43;42;16;17;16;773;;5;665 - Bonduelle vers Nord;2025-10-31;Vacances de la Toussaint
681;2025-10-31;17;7;6;1;2;0;11;12;36;20;8;15;40;30;36;28;32;104;77;47;39;32;37;28;665;;5;681 - Stalingrad vers est;2025-10-31;Vacances de la Toussaint
743;2025-10-31;13;10;4;0;1;3;3;53;139;86;26;28;42;63;65;64;66;114;113;99;61;36;38;38;1165;;5;743 - Philippot vers ouest;2025-10-31;Vacances de la Toussaint
980;2025-10-31;0;0;0;0;0;1;0;1;3;1;2;2;1;2;1;2;0;5;1;3;3;4;0;0;32;;5;980 - Pont Tabarly vers Sud;2025-10-31;Vacances de la Toussaint
945;2025-10-31;8;1;1;2;2;4;4;14;53;29;7;24;32;27;30;45;28;94;61;57;32;22;33;31;641;;5;945 - Magellan vers Ouest;2025-10-31;Vacances de la Toussaint
994;2025-10-31;24;3;1;3;3;2;5;16;43;19;12;7;33;28;21;38;40;104;88;33;21;12;24;30;610;;5;994 - Ceineray vers Est;2025-10-31;Vacances de la Toussaint
673;2025-10-31;7;2;3;0;2;5;8;37;54;39;11;16;34;25;24;38;50;98;70;45;16;15;16;12;627;;5;673 - Pont de Pornic vers Sud;2025-10-31;Vacances de la Toussaint
683;2025-10-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;5;683 - pont Anne de Bretagne vers Nord;2025-10-31;Vacances de la Toussaint
727;2025-10-31;8;0;0;1;1;7;8;34;47;18;8;11;32;16;18;15;26;43;28;26;11;9;3;1;371;;5;727 - Pont Tabarly vers Nord;2025-10-31;Vacances de la Toussaint
949;2025-10-31;3;2;2;0;2;0;4;9;25;7;7;14;22;10;15;14;18;46;24;22;9;10;7;11;283;;5;949 - avenue de la Libération vers Sud;2025-10-31;Vacances de la Toussaint
981;2025-10-31;0;0;0;0;1;0;1;3;5;5;0;2;2;5;4;6;10;6;8;6;2;3;1;2;72;;5;981 - Pont Tabarly vers Nord;2025-10-31;Vacances de la Toussaint
679;2025-10-31;0;0;0;0;0;0;2;1;3;6;6;2;2;9;5;8;4;11;7;3;1;4;2;0;76;;5;679 - Bd Malakoff vers Gare Sud;2025-10-31;Vacances de la Toussaint
946;2025-10-31;8;0;1;0;1;1;7;30;96;81;44;33;55;38;45;37;56;89;71;54;53;30;18;21;869;;5;946 - Magellan vers Est;2025-10-31;Vacances de la Toussaint
666;2025-10-31;2;1;0;1;0;0;2;5;12;10;4;7;15;10;8;11;18;17;20;8;10;9;1;3;174;;5;666 - Pont Audibert vers Sud;2025-10-31;Vacances de la Toussaint
667;2025-10-31;27;6;7;6;4;6;37;108;252;191;86;77;144;113;102;132;142;223;187;139;115;69;38;49;2260;;5;667 - Entrée pont Audibert vers Nord;2025-10-31;Vacances de la Toussaint
669;2025-10-31;2;1;0;0;3;8;13;75;133;51;17;33;28;30;28;16;26;47;47;35;29;15;11;5;653;;5;669 - De Gaulle sortie Clémenceau vers Nord;2025-10-31;Vacances de la Toussaint
670;2025-10-31;1;3;5;1;2;3;5;8;18;10;2;13;12;17;14;19;8;29;21;23;12;5;7;3;241;;5;670 - Pont de Pirmil vers Sud;2025-10-31;Vacances de la Toussaint
674;2025-10-31;12;10;3;1;3;1;7;43;97;71;23;17;58;43;39;54;46;96;82;75;43;30;42;23;919;;5;674 - Pont Haudaudine vers Sud;2025-10-31;Vacances de la Toussaint
675;2025-10-31;18;3;0;1;4;4;10;23;65;36;20;28;45;55;43;40;44;84;0;0;0;4;26;28;581;;5;675 - Pont Haudaudine vers Nord;2025-10-31;Vacances de la Toussaint
