Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
725;2025-11-02;3;3;1;0;3;0;1;1;6;9;15;19;23;22;22;30;14;10;12;7;10;3;6;3;223;;7;725 - Pont Tabarly vers Sud;2025-11-02;Vacances de la Toussaint
727;2025-11-02;2;2;2;0;0;0;1;0;5;13;20;27;12;14;14;19;17;20;10;10;11;5;1;0;205;;7;727 - Pont Tabarly vers Nord;2025-11-02;Vacances de la Toussaint
744;2025-11-02;5;5;3;0;3;0;1;0;6;12;19;30;34;28;20;23;25;49;37;17;23;9;5;5;359;;7;744 - Calvaire vers Est;2025-11-02;Vacances de la Toussaint
747;2025-11-02;6;1;3;1;2;0;0;0;4;12;30;18;22;17;22;23;38;31;20;8;6;5;2;1;272;;7;747 - Chemin de halage Tortière vers Nord;2025-11-02;Vacances de la Toussaint
960;2025-11-02;0;0;0;1;0;0;1;0;0;3;3;4;1;2;3;2;1;0;2;1;0;0;1;0;25;;7;960 - Sorinières Vers Nord;2025-11-02;Vacances de la Toussaint
977;2025-11-02;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;977 - pont des 3 Continents vers Nord;2025-11-02;Vacances de la Toussaint
989;2025-11-02;27;23;8;6;6;3;4;8;15;13;30;36;26;29;36;49;61;51;66;36;26;13;20;6;598;;7;989 - Kennedy vers Ouest;2025-11-02;Vacances de la Toussaint
881;2025-11-02;14;23;3;1;3;1;9;9;12;23;56;62;64;42;50;61;76;80;64;53;37;11;5;3;762;;7;881 - Madeleine vers Sud;2025-11-02;Vacances de la Toussaint
959;2025-11-02;0;0;1;0;2;0;1;1;1;3;3;7;3;3;4;5;2;4;2;3;0;0;0;1;46;;7;959 - Sorinières Vers Sud;2025-11-02;Vacances de la Toussaint
988;2025-11-02;2;4;1;0;0;0;3;0;13;24;32;27;34;21;31;54;52;49;39;27;15;9;22;4;463;;7;988 - Kennedy vers Est;2025-11-02;Vacances de la Toussaint
788;2025-11-02;32;29;8;9;8;3;8;6;7;21;56;92;87;44;57;56;76;69;73;65;28;23;15;8;880;;7;788 - 50 Otages Vers Nord;2025-11-02;Vacances de la Toussaint
670;2025-11-02;2;4;5;2;4;2;1;0;9;10;16;13;5;7;6;10;13;12;9;2;4;3;8;1;148;;7;670 - Pont de Pirmil vers Sud;2025-11-02;Vacances de la Toussaint
785;2025-11-02;36;19;16;8;3;5;7;6;35;51;81;96;78;68;72;95;75;72;79;64;52;25;20;14;1077;;7;785 - 50 Otages Vers Sud;2025-11-02;Vacances de la Toussaint
995;2025-11-02;2;0;4;0;2;2;1;3;13;30;38;45;22;27;46;33;53;39;27;16;15;3;6;0;427;;7;995 - Ceineray vers Ouest;2025-11-02;Vacances de la Toussaint
672;2025-11-02;6;16;2;2;3;2;1;2;7;13;23;27;32;28;27;36;36;28;27;15;11;7;4;3;358;;7;672 - Pont de Pornic vers Nord;2025-11-02;Vacances de la Toussaint
676;2025-11-02;2;6;3;1;0;1;1;2;2;12;27;12;29;23;10;24;19;18;18;19;10;6;5;4;254;;7;676 - Pont Willy Brandt vers Beaulieu;2025-11-02;Vacances de la Toussaint
